date,time,house_id,Consumed_kv,meter_reading,location,entertainment,white_goods,lighting,air_conditioners,EV_items
2025-04-20,00:07:08,3d4cbf37,1.73,4803.01,East Natalieland,0.27,0.0,0.89,0.57,0.0
2025-03-05,16:11:43,885f6e66,5.22,5362.17,East Donna,0.28,1.65,0.53,2.1,0.66
2025-04-21,11:18:05,6c52c49f,5.08,2558.58,New Karina,0.4,1.13,0.59,2.46,0.5
2025-04-07,11:34:39,a65e688e,5.83,2123.49,Samuelhaven,1.01,1.99,0.49,2.04,0.3
2025-03-25,01:17:51,969b6662,1.37,5527.1,New Jeffrey,0.33,0.0,0.31,0.73,0.0
2025-03-04,17:50:52,080aadfb,5.18,1661.56,Chadbury,0.2,1.79,0.31,2.34,0.54
2025-03-16,00:53:31,ef7ddc76,1.27,3155.26,Sanchezfort,0.14,0.0,0.53,0.6,0.0
2025-04-13,07:48:31,5ab33edf,5.37,3013.11,Jenkinston,0.75,1.14,0.76,0.26,2.46
2025-04-06,12:56:12,ba6c34ab,5.14,3109.41,Laurenville,1.31,1.01,0.32,1.38,1.12
2025-03-14,06:20:04,2ef91276,2.03,5180.14,Stevenland,0.3,0.0,0.93,0.8,0.0
2025-03-24,23:30:36,a6f2f7b8,1.91,1293.18,North Sarabury,0.15,0.0,0.86,0.9,0.0
2025-03-09,14:47:25,e7067ef4,6.6,3115.04,East Nicholasfurt,1.48,1.07,0.34,2.57,1.14
2025-03-15,12:42:43,b253d218,6.86,2483.54,Mooreport,1.49,1.94,0.6,2.44,0.39
2025-03-12,16:24:13,bf7b539b,6.09,3920.89,Brianshire,0.91,1.95,0.59,2.5,0.14
2025-03-26,15:59:25,f5f59b22,5.9,1929.12,Port Jacobland,1.29,1.25,0.24,2.92,0.2
2025-04-06,09:49:52,91d63f78,5.33,3972.6,New Brooke,1.05,1.39,0.31,0.35,2.23
2025-04-03,15:27:45,50fd9d3f,7.14,2021.3,Jamesmouth,0.69,1.43,0.63,2.05,2.34
2025-03-13,01:06:53,750cab75,1.9,1362.72,Sarahland,0.19,0.0,0.46,1.25,0.0
2025-03-01,19:49:52,12c136e0,5.37,2326.0,New Joseph,1.5,1.19,1.0,1.15,0.53
2025-04-20,06:59:10,48f4ef12,1.89,5936.17,South Martha,0.43,0.0,0.89,0.57,0.0
2025-04-07,05:57:22,8768a84f,1.94,1577.14,Lake Lisaport,0.47,0.0,0.84,0.63,0.0
2025-04-20,00:22:53,1d8cbbac,1.62,2319.92,Lake Angelaview,0.14,0.0,0.35,1.13,0.0
2025-03-16,21:00:09,a25d6b29,5.7,2383.4,Williamview,1.37,1.23,0.86,1.18,1.06
2025-04-18,22:32:09,d450281c,1.9,1048.35,Bradleymouth,0.3,0.0,0.67,0.93,0.0
2025-04-11,04:29:28,711c21c9,1.87,1637.23,Hoffmanville,0.31,0.0,0.91,0.65,0.0
2025-03-05,14:18:34,093923de,8.11,2050.38,Brandiberg,1.36,0.96,0.82,2.72,2.25
2025-03-24,04:08:25,cbceabde,1.78,5649.41,West Jasonbury,0.33,0.0,0.8,0.65,0.0
2025-04-06,05:59:29,6808593f,2.04,5654.08,East Michelle,0.38,0.0,0.83,0.83,0.0
2025-04-22,00:55:53,2dea9493,2.3,5292.97,Kimberlychester,0.1,0.0,0.83,1.37,0.0
2025-04-13,20:03:45,28c13091,6.18,2137.98,South Monicafort,1.24,0.83,0.51,1.61,1.99
2025-03-13,12:45:14,d20eac17,6.46,2395.62,East Andrew,0.37,0.54,0.4,2.73,2.42
2025-03-11,16:38:07,c5f8bc16,7.52,1576.71,Michaelhaven,0.66,1.46,0.98,2.07,2.35
