meter_reading,consumed_power,white_goods
67756.9411,0.7516,0.6437
67757.7148,0.7737,0.6654
67758.4903,0.7755,0.6703
67759.196,0.7057,0.5971
67759.3797,0.1837,0.0678
67759.5689,0.1892,0.07
67759.755,0.1861,0.0755
67760.5369,0.7819,0.6583
67761.2364,0.6995,0.5896
67761.4208,0.1844,0.0692
67762.2085,0.7877,0.6615
67762.3887,0.1802,0.0741
67762.5702,0.1815,0.0751
67762.7599,0.1897,0.0723
67762.962,0.2021,0.076
67763.6953,0.7333,0.5783
67763.9291,0.2338,0.0804
67764.6789,0.7498,0.5954
67765.4301,0.7512,0.6071
67765.6619,0.2318,0.0771
67766.4034,0.7415,0.5844
67767.0538,0.6504,0.5848
67767.1935,0.1397,0.0718
67768.39,1.1965,0.079
67769.5881,1.1981,0.0681
67770.6203,1.0322,0.0723
67771.7078,1.0875,0.0808
67772.7836,1.0758,0.0694
67773.7715,0.9879,0.0726
67774.8483,1.0768,0.0822
67776.0077,1.1594,0.0728
67777.0498,1.0421,0.0697
67778.0753,1.0255,0.0757
67779.6273,1.552,0.6224
67781.1926,1.5653,0.5738
67782.1973,1.0047,0.0699
67783.7345,1.5372,0.6028
67785.3699,1.6354,0.5916
67787.0168,1.6469,0.6797
67787.7315,0.7147,0.6746
67787.8438,0.1123,0.0751
67788.4985,0.6547,0.6253
67789.1764,0.6779,0.6386
67789.8144,0.638,0.5978
67790.5268,0.7124,0.6708
67790.637,0.1102,0.0802
67791.2694,0.6324,0.6024
67791.4656,0.1962,0.0813
67792.2206,0.755,0.6491
67792.9971,0.7765,0.6644
67793.715,0.7179,0.5948
67793.9164,0.2014,0.0824
67794.6415,0.7251,0.5982
67794.8344,0.1929,0.0693
67795.0169,0.1825,0.0775
67795.7073,0.6904,0.5854
67795.8963,0.189,0.0684
67796.6422,0.7459,0.6203
67797.428,0.7858,0.6727
67798.1622,0.7342,0.6246
67798.3508,0.1886,0.0786
67799.0472,0.6964,0.5817
67799.8318,0.7846,0.676
67800.0662,0.2344,0.0801
67800.8719,0.8057,0.6367
67801.1004,0.2285,0.0777
67801.892,0.7916,0.6347
67802.1156,0.2236,0.0772
67802.8732,0.7576,0.6096
67803.0113,0.1381,0.0716
67803.7443,0.733,0.6619
67804.8426,1.0983,0.0719
67805.9955,1.1529,0.0717
67806.9991,1.0036,0.0751
67808.0333,1.0342,0.0825
67809.7586,1.7253,0.6524
67811.4999,1.7413,0.6467
67812.5503,1.0504,0.0704
67814.2743,1.724,0.6593
67815.8642,1.5899,0.667
67817.5849,1.7207,0.6296
67819.1433,1.5584,0.6171
67820.2117,1.0684,0.0739
67821.2167,1.005,0.0684
67822.9848,1.7681,0.6571
67824.7039,1.7191,0.6757
67826.2916,1.5877,0.5784
67826.9476,0.656,0.6159
67827.045,0.0974,0.0685
67827.7121,0.6671,0.6375
67828.3572,0.6451,0.6051
67828.9698,0.6126,0.5839
67829.0763,0.1065,0.0685
67829.1795,0.1032,0.0748
67829.2853,0.1058,0.0746
67829.4706,0.1853,0.0703
67830.1638,0.6932,0.5799
67830.887,0.7232,0.6048
67831.6544,0.7674,0.6537
67831.8526,0.1982,0.0787
67832.5552,0.7026,0.58
67832.7422,0.187,0.0751
67832.943,0.2008,0.0766
67833.6588,0.7158,0.6107
67833.8523,0.1935,0.0705
67834.5343,0.682,0.5743
67834.7269,0.1926,0.0772
67835.4007,0.6738,0.5674
67835.577,0.1763,0.0683
67836.2952,0.7182,0.6001
67837.0107,0.7155,0.6012
67837.7852,0.7745,0.6152
67838.0031,0.2179,0.0681
67838.7359,0.7328,0.5882
67839.5778,0.8419,0.6831
67839.8163,0.2385,0.0727
67840.0383,0.222,0.0722
67840.7046,0.6663,0.6003
67840.8487,0.1441,0.0689
67841.9284,1.0797,0.0765
67843.0235,1.0951,0.0734
67844.1102,1.0867,0.071
67845.7564,1.6462,0.5847
67847.3997,1.6433,0.5823
67848.3961,0.9964,0.0737
67849.5106,1.1145,0.0682
67851.2385,1.7279,0.6677
67852.9096,1.6711,0.6602
67853.9855,1.0759,0.0693
67855.054,1.0685,0.0739
67856.0609,1.0069,0.0785
67857.6759,1.615,0.6485
67858.7988,1.1229,0.0727
67860.3807,1.5819,0.5758
67862.0185,1.6378,0.6541
67862.1388,0.1203,0.0786
67862.7714,0.6326,0.595
67863.4322,0.6608,0.6192
67863.5431,0.1109,0.0733
67864.1582,0.6151,0.5842
67864.2687,0.1105,0.0717
67864.3715,0.1028,0.0748
67865.0118,0.6403,0.6101
67865.1896,0.1778,0.0698
67865.3744,0.1848,0.0759
67866.1348,0.7604,0.639
67866.8991,0.7643,0.651
67867.0916,0.1925,0.0769
67867.7841,0.6925,0.5782
67867.978,0.1939,0.0825
67868.7397,0.7617,0.6467
67868.9244,0.1847,0.0766
67869.1223,0.1979,0.0792
67869.86,0.7377,0.6263
67870.0387,0.1787,0.0723
67870.7988,0.7601,0.6528
67871.5219,0.7231,0.6084
67871.7105,0.1886,0.0744
67872.4293,0.7188,0.5978
67873.1656,0.7363,0.5834
67873.3948,0.2292,0.072
67873.6293,0.2345,0.0811
67874.3936,0.7643,0.6065
67875.1819,0.7883,0.6313
67875.42,0.2381,0.0781
67876.0961,0.6761,0.6002
67876.2421,0.146,0.0798
67877.3119,1.0698,0.0695
67878.9491,1.6372,0.6403
67880.6649,1.7158,0.6643
67882.3707,1.7058,0.6114
67883.4508,1.0801,0.0726
67884.5418,1.091,0.0739
67885.566,1.0242,0.0789
67886.5561,0.9901,0.0815
67888.2794,1.7233,0.6516
67889.3877,1.1083,0.0766
67891.0018,1.6141,0.6174
67892.0301,1.0283,0.0784
67893.0787,1.0486,0.0779
67894.0804,1.0017,0.0723
67895.1051,1.0247,0.0779
67896.246,1.1409,0.0789
67896.3526,0.1066,0.0751
67896.4658,0.1132,0.0748
67897.0875,0.6217,0.5901
67897.7761,0.6886,0.6568
67897.8909,0.1148,0.0823
67898.0036,0.1127,0.0802
67898.6972,0.6936,0.6518
67898.8137,0.1165,0.0735
67898.9961,0.1824,0.0688
67899.1971,0.201,0.082
67899.8867,0.6896,0.5694
67900.0659,0.1792,0.0688
67900.2556,0.1897,0.0698
67900.447,0.1914,0.0824
67900.6257,0.1787,0.0691
67901.3283,0.7026,0.5848
67901.5071,0.1788,0.0734
67901.6897,0.1826,0.0682
67902.4709,0.7812,0.6627
67902.6628,0.1919,0.0752
67902.8639,0.2011,0.0817
67903.0577,0.1938,0.0752
67903.8358,0.7781,0.656
67904.6375,0.8017,0.6768
67904.8601,0.2226,0.0761
67905.6764,0.8163,0.6723
67906.4202,0.7438,0.5986
67906.6411,0.2209,0.0725
67907.3889,0.7478,0.5964
67908.1118,0.7229,0.5691
67908.2492,0.1374,0.0693
67908.9058,0.6566,0.5753
67910.5576,1.6518,0.6335
67912.1208,1.5632,0.5958
67913.2048,1.084,0.0716
67914.1938,0.989,0.0756
67915.7657,1.5719,0.5702
67916.7878,1.0221,0.0748
67917.9338,1.146,0.0816
67919.6582,1.7244,0.6252
67920.7079,1.0497,0.0768
67921.694,0.9861,0.0697
67923.3437,1.6497,0.6398
67924.5386,1.1949,0.0791
67926.301,1.7624,0.6498
67927.4336,1.1326,0.0765
67929.0533,1.6197,0.6031
67930.1922,1.1389,0.0735
67930.8499,0.6577,0.6256
67930.9601,0.1102,0.0721
67931.0738,0.1137,0.0748
67931.1856,0.1118,0.0823
67931.8668,0.6812,0.6501
67931.97,0.1032,0.0751
67932.5812,0.6112,0.5706
67933.2238,0.6426,0.604
67933.409,0.1852,0.0711
67933.5989,0.1899,0.0795
67934.3756,0.7767,0.6641
67934.5738,0.1982,0.0785
67934.7567,0.1829,0.078
67934.9477,0.191,0.0788
67935.1486,0.2009,0.0811
67935.8576,0.709,0.5963
67936.0511,0.1935,0.0782
67936.8153,0.7642,0.6539
67937.5311,0.7158,0.5933
67937.7254,0.1943,0.0766
67937.9227,0.1973,0.0762
67938.1019,0.1792,0.0677
67938.2902,0.1883,0.0714
67939.0533,0.7631,0.6493
67939.2939,0.2406,0.0819
67939.5128,0.2189,0.0689
67939.7571,0.2443,0.081
67939.9872,0.2301,0.0815
67940.7793,0.7921,0.6358
67941.5946,0.8153,0.6682
67942.3215,0.7269,0.6505
67943.0027,0.6812,0.6056
67944.0555,1.0528,0.0694
67945.6697,1.6142,0.63
67946.7982,1.1285,0.0711
67948.3537,1.5555,0.6213
67949.402,1.0483,0.0681
67951.0935,1.6915,0.6611
67952.1838,1.0903,0.0714
67953.171,0.9872,0.0801
67954.7328,1.5618,0.5801
67955.8124,1.0796,0.0687
67956.8965,1.0841,0.0745
67957.9475,1.051,0.068
67959.5471,1.5996,0.588
67961.1825,1.6354,0.6605
67962.1569,0.9744,0.0677
67963.8309,1.674,0.6741
67963.9534,0.1225,0.0817
67964.6379,0.6845,0.6457
67964.7428,0.1049,0.0759
67964.8485,0.1057,0.0752
67965.536,0.6875,0.6571
67966.1463,0.6103,0.5824
67966.8059,0.6596,0.6188
67967.441,0.6351,0.5946
67968.1795,0.7385,0.6219
67968.8879,0.7084,0.6045
67969.0656,0.1777,0.0716
67969.2648,0.1992,0.0783
67969.4539,0.1891,0.0805
67970.1825,0.7286,0.6099
67970.8809,0.6984,0.5857
67971.0676,0.1867,0.0681
67971.8065,0.7389,0.629
67972.0009,0.1944,0.0818
67972.1821,0.1812,0.069
67972.3752,0.1931,0.0719
67973.0691,0.6939,0.5751
67973.855,0.7859,0.6697
67974.6145,0.7595,0.6428
67975.3293,0.7148,0.5997
67976.0674,0.7381,0.5905
67976.8413,0.7739,0.6236
67977.0684,0.2271,0.0809
67977.8456,0.7772,0.6211
67978.0767,0.2311,0.0678
67978.2996,0.2229,0.0758
67978.4432,0.1436,0.0696
67979.1442,0.701,0.6339
67980.9022,1.758,0.6599
67982.4951,1.5929,0.6158
67984.0878,1.5927,0.6445
67985.2811,1.1933,0.0798
67986.3807,1.0996,0.0771
67987.3906,1.0099,0.072
67989.1394,1.7488,0.6537
67990.8424,1.703,0.6186
67992.0103,1.1679,0.0708
67993.1079,1.0976,0.0772
67994.7756,1.6677,0.6314
67995.8148,1.0392,0.0715
67996.88,1.0652,0.0714
67998.031,1.151,0.0706
67999.8154,1.7844,0.6827
68000.8141,0.9987,0.0695
68000.9245,0.1104,0.069
68001.0294,0.1049,0.0764
68001.6744,0.645,0.6064
68001.7901,0.1157,0.0789
68001.8877,0.0976,0.07
68002.0034,0.1157,0.0782
68002.1142,0.1108,0.0704
68002.2121,0.0979,0.0691
68002.9313,0.7192,0.59
68003.6494,0.7181,0.6023
68003.8349,0.1855,0.0696
68004.0209,0.186,0.069
68004.781,0.7601,0.6556
68004.9647,0.1837,0.0694
68005.1561,0.1914,0.069
68005.8708,0.7147,0.6068
68006.5945,0.7237,0.6093
68006.7871,0.1926,0.0785
68007.5541,0.767,0.6492
68007.7532,0.1991,0.0749
68007.9442,0.191,0.0717
68008.1347,0.1905,0.0774
68008.8764,0.7417,0.6269
68009.0665,0.1901,0.0736
68009.8566,0.7901,0.6412
68010.0805,0.2239,0.0771
68010.8216,0.7411,0.5843
68011.5699,0.7483,0.5935
68011.7928,0.2229,0.0733
68012.0265,0.2337,0.0816
68012.7758,0.7493,0.6684
68013.5246,0.7488,0.6763
68015.1085,1.5839,0.6284
68016.8549,1.7464,0.5999
68018.4281,1.5732,0.6283
68019.6007,1.1726,0.0818
68021.295,1.6943,0.5919
68022.2973,1.0023,0.075
68023.9697,1.6724,0.6766
68025.1137,1.144,0.0691
68026.6971,1.5834,0.6102
68028.3113,1.6142,0.5785
68029.8804,1.5691,0.6528
68031.5607,1.6803,0.5794
68033.1757,1.615,0.6627
68034.7281,1.5524,0.6149
68035.7658,1.0377,0.0703
68037.4029,1.6371,0.6363
68038.0421,0.6392,0.5982
68038.726,0.6839,0.655
68038.8368,0.1108,0.0799
68039.4738,0.637,0.5983
68039.5817,0.1079,0.0797
68040.2508,0.6691,0.6286
68040.9304,0.6796,0.642
68041.0334,0.103,0.0748
68041.2181,0.1847,0.0767
68041.9925,0.7744,0.6696
68042.1839,0.1914,0.0774
68042.3832,0.1993,0.0812
68042.5647,0.1815,0.0745
68043.2629,0.6982,0.5833
68043.9644,0.7015,0.594
68044.7094,0.745,0.626
68045.434,0.7246,0.5994
68046.2192,0.7852,0.6701
68046.4022,0.183,0.0708
68047.1599,0.7577,0.6377
68047.8772,0.7173,0.6091
68048.6237,0.7465,0.6335
68048.8151,0.1914,0.0812
68049.5888,0.7737,0.6465
68050.344,0.7552,0.6017
68050.5848,0.2408,0.075
68050.8136,0.2288,0.079
68051.6454,0.8318,0.6808
68052.3831,0.7377,0.5941
68053.1761,0.793,0.6374
68053.3391,0.163,0.0794
68054.0538,0.7147,0.6429
68055.8055,1.7517,0.612
68056.9641,1.1586,0.0811
68058.4835,1.5194,0.5841
68059.6658,1.1823,0.0803
68060.834,1.1682,0.0758
68062.5297,1.6957,0.6393
68064.0969,1.5672,0.649
68065.2759,1.179,0.0689
68066.3135,1.0376,0.0729
68067.4215,1.108,0.076
68068.4098,0.9883,0.0702
68069.5884,1.1786,0.0759
68071.1785,1.5901,0.5764
68072.2878,1.1093,0.0797
68073.81,1.5222,0.609
68075.5783,1.7683,0.6662
68076.2684,0.6901,0.6506
68076.9323,0.6639,0.6255
68077.64,0.7077,0.6792
68078.2654,0.6254,0.597
68078.3675,0.1021,0.0738
68078.4754,0.1079,0.0691
68079.1156,0.6402,0.5978
68079.8181,0.7025,0.6601
68080.009,0.1909,0.0768
68080.2065,0.1975,0.0798
68080.397,0.1905,0.0703
68081.1199,0.7229,0.6164
68081.3037,0.1838,0.0684
68081.4947,0.191,0.0792
68082.275,0.7803,0.6733
68082.4745,0.1995,0.075
68082.677,0.2025,0.077
68083.4565,0.7795,0.6629
68084.2224,0.7659,0.6503
68084.4086,0.1862,0.074
68084.6032,0.1946,0.0789
68085.3723,0.7691,0.6614
68085.5577,0.1854,0.075
68086.3198,0.7621,0.6425
68086.551,0.2312,0.0718
68087.2782,0.7272,0.5727
68087.5152,0.237,0.071
68087.7509,0.2357,0.0774
68088.4804,0.7295,0.5835
68089.2557,0.7753,0.6106
68089.9684,0.7127,0.6486
68090.1176,0.1492,0.069
68091.8993,1.7817,0.6383
68093.5454,1.6461,0.5993
68094.6579,1.1125,0.0716
68095.6764,1.0185,0.0795
68097.4288,1.7524,0.6454
68099.1384,1.7096,0.6465
68100.2931,1.1547,0.0682
68101.3431,1.05,0.0769
68103.0027,1.6596,0.613
68104.0219,1.0192,0.0676
68105.1511,1.1292,0.0745
68106.6903,1.5392,0.5768
68108.2296,1.5393,0.605
68109.3321,1.1025,0.0802
68110.3463,1.0142,0.0789
68111.408,1.0617,0.0821
68112.0588,0.6508,0.6201
68112.1579,0.0991,0.069
68112.2707,0.1128,0.0713
68112.9625,0.6918,0.6614
68113.5666,0.6041,0.573
68114.2651,0.6985,0.668
68114.952,0.6869,0.6478
68115.6209,0.6689,0.6399
68115.8084,0.1875,0.0683
68115.9946,0.1862,0.0772
68116.7143,0.7197,0.5973
68117.4894,0.7751,0.6697
68118.2724,0.783,0.6605
68119.0587,0.7863,0.6764
68119.8132,0.7545,0.6527
68120.0103,0.1971,0.0768
68120.2054,0.1951,0.074
68120.3899,0.1845,0.0752
68120.5861,0.1962,0.0748
68120.7703,0.1842,0.0797
68120.9682,0.1979,0.0818
68121.7353,0.7671,0.6408
68122.4876,0.7523,0.6309
68122.6813,0.1937,0.0713
68123.4231,0.7418,0.5915
68123.6411,0.218,0.0686
68123.8818,0.2407,0.0803
68124.1285,0.2467,0.081
68124.922,0.7935,0.6239
68125.1528,0.2308,0.076
68125.8194,0.6666,0.5957
68125.9715,0.1521,0.0769
68127.1353,1.1638,0.0819
68128.2862,1.1509,0.0779
68129.9831,1.6969,0.6726
68130.9877,1.0046,0.0692
68132.6433,1.6556,0.5914
68134.2092,1.5659,0.5963
68135.8577,1.6485,0.656
68136.9934,1.1357,0.0812
68138.0461,1.0527,0.0808
68139.609,1.5629,0.6448
68141.2355,1.6265,0.6733
68142.9139,1.6784,0.5917
68143.9048,0.9909,0.0753
68144.9754,1.0706,0.0768
68146.5685,1.5931,0.6683
68148.1757,1.6072,0.6767
68148.7934,0.6177,0.5801
68148.9056,0.1122,0.0707
68149.0015,0.0959,0.0677
68149.1022,0.1007,0.0695
68149.203,0.1008,0.0694
68149.3204,0.1174,0.0742
68149.9704,0.65,0.6204
68150.5956,0.6252,0.5941
68151.2975,0.7019,0.5872
68151.4895,0.192,0.0807
68152.1835,0.694,0.5785
68152.3747,0.1912,0.0707
68152.5553,0.1806,0.0693
68153.3059,0.7506,0.6302
68154.0845,0.7786,0.6703
68154.2634,0.1789,0.0678
68155.0122,0.7488,0.637
68155.1974,0.1852,0.0772
68155.3851,0.1877,0.0753
68155.5719,0.1868,0.0773
68155.7448,0.1729,0.0683
68156.4589,0.7141,0.5927
68157.186,0.7271,0.6129
68157.8995,0.7135,0.592
68158.6449,0.7454,0.5926
68158.8854,0.2405,0.082
68159.718,0.8326,0.6767
68159.9405,0.2225,0.0798
68160.1708,0.2303,0.0765
68161.0034,0.8326,0.6744
68161.699,0.6956,0.6188
68162.3976,0.6986,0.6208
68164.061,1.6634,0.6266
68165.7578,1.6968,0.6228
68166.8314,1.0736,0.0678
68167.9956,1.1642,0.0693
68169.6888,1.6932,0.6141
68170.8425,1.1537,0.072
68171.9755,1.133,0.0808
68172.9762,1.0007,0.073
68174.0037,1.0275,0.0771
68175.5967,1.593,0.5898
68177.2808,1.6841,0.627
68178.3881,1.1073,0.0753
68179.383,0.9949,0.069
68180.9651,1.5821,0.6155
68182.0259,1.0608,0.0786
68183.7191,1.6932,0.67
68183.8207,0.1016,0.0717
68184.4238,0.6031,0.5751
68184.5387,0.1149,0.0823
68184.6459,0.1072,0.0779
68185.2577,0.6118,0.5696
68185.9594,0.7017,0.6719
68186.5694,0.61,0.5702
68186.6876,0.1182,0.0794
68186.8836,0.196,0.0791
68187.0701,0.1865,0.0787
68187.2676,0.1975,0.0705
68187.9967,0.7291,0.613
68188.7695,0.7728,0.6628
68188.9707,0.2012,0.0783
68189.1575,0.1868,0.0719
68189.3494,0.1919,0.0787
68189.55,0.2006,0.0782
68190.2561,0.7061,0.5942
68190.4523,0.1962,0.0772
68191.1402,0.6879,0.5773
68191.8393,0.6991,0.5787
68192.0221,0.1828,0.0691
68192.8036,0.7815,0.6733
68192.9895,0.1859,0.0723
68193.2237,0.2342,0.0703
68193.4411,0.2174,0.0712
68193.6674,0.2263,0.0824
68194.4492,0.7818,0.6206
68195.2734,0.8242,0.6671
68196.06,0.7866,0.6358
68196.2169,0.1569,0.0748
68196.3627,0.1458,0.0741
68198.0329,1.6702,0.6554
68199.0947,1.0618,0.0731
68200.103,1.0083,0.0763
68201.2721,1.1691,0.0822
68202.3524,1.0803,0.0699
68204.045,1.6926,0.6401
68205.7124,1.6674,0.5798
68206.7438,1.0314,0.0679
68207.7876,1.0438,0.081
68209.4754,1.6878,0.6403
68210.6472,1.1718,0.0723
68212.4084,1.7612,0.6851
68214.1451,1.7367,0.6299
68215.7826,1.6375,0.6836
68217.3734,1.5908,0.5765
68219.103,1.7296,0.6288
68219.7793,0.6763,0.6342
68220.4614,0.6821,0.6543
68221.1137,0.6523,0.6119
68221.2347,0.121,0.0797
68221.8801,0.6454,0.6068
68221.9903,0.1102,0.069
68222.1134,0.1231,0.0808
68222.7386,0.6252,0.5949
68222.9365,0.1979,0.0763
68223.6959,0.7594,0.6476
68224.3869,0.691,0.5763
68224.5809,0.194,0.0816
